권역,지역,대학명,모집단위1,모집단위2,핵심과목,권장과목,비고
수도권,서울,가톨릭대,자유전공학부,자유,계열 구분 없이 자신의 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,인문사회계열,인문,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,국어국문학과,국어국문,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,철학과,철학,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,국사학과,국사,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,영어영문학부,영어,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,중국언어문화학과,중국언어문화학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,일어일본문화학과,일어일본문화학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,프랑스어문화학과,프랑스어문화학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,국제학부,국제학부,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,법학과,법학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,아동학과,아동학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,신학과,신학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,,-
수도권,서울,가톨릭대,사회복지학과,사회복지학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,-
수도권,서울,가톨릭대,심리학과,심리학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,-
수도권,서울,가톨릭대,사회학과,사회학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,-
수도권,서울,가톨릭대,경영학과,경영학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,-
수도권,서울,가톨릭대,회계학과,회계학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,-
수도권,서울,가톨릭대,경제학과,경제학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,-
수도권,서울,가톨릭대,행정학과,행정학과,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,-
수도권,서울,가톨릭대,물리학과,물리학과,"물리학, 수학",," -물리학: 과목 1과목 이상
-수학: 과목 위계를 고려하여 3과목 이상"
수도권,서울,가톨릭대,컴퓨터정보공학부,컴퓨터정보공학부,"물리학, 수학",," -물리학: 과목 1과목 이상
-수학: 과목 위계를 고려하여 3과목 이상"
수도권,서울,가톨릭대,인공지능학과,인공지능학과,"물리학, 수학",," -물리학: 과목 1과목 이상
-수학: 과목 위계를 고려하여 3과목 이상"
수도권,서울,가톨릭대,화학과,화학과,"화학, 수학",," -화학: 1과목 이상
-수학: 과목 위계를 고려하여 3과목 이상"
